c_tag=0, delta_diff lower bound=14.23, delta_diff upper bound=14.84, solve_time=2000.0239720344543
c_tag=1, delta_diff lower bound=0.0, delta_diff upper bound=0.0, solve_time=4.997544050216675
c_tag=2, delta_diff lower bound=21.67, delta_diff upper bound=21.88, solve_time=422.1458668708801
c_tag=3, delta_diff lower bound=0.0, delta_diff upper bound=0.0, solve_time=1.2206320762634277
c_tag=4, delta_diff lower bound=0.0, delta_diff upper bound=0.0, solve_time=2.880465030670166
c_tag=5, delta_diff lower bound=0.0, delta_diff upper bound=0.0, solve_time=2.082491159439087
c_tag=6, delta_diff lower bound=62.98, delta_diff upper bound=72.57, solve_time=2000.0187730789185
c_tag=7, delta_diff lower bound=0.0, delta_diff upper bound=0.0, solve_time=4.545837163925171
c_tag=8, delta_diff lower bound=0.0, delta_diff upper bound=0.0, solve_time=3.658560037612915
