cuda:0
Epoch 1/30 | loss=7.3305 | ce_loss=1.4722 | kd_loss=7.3305 | margin_loss=10.0466
Epoch 2/30 | loss=1.9212 | ce_loss=0.5605 | kd_loss=1.9212 | margin_loss=4.5064
Epoch 3/30 | loss=0.9766 | ce_loss=0.3897 | kd_loss=0.9766 | margin_loss=2.9833
Epoch 4/30 | loss=0.6406 | ce_loss=0.3166 | kd_loss=0.6406 | margin_loss=2.3604
Epoch 5/30 | loss=0.4709 | ce_loss=0.2876 | kd_loss=0.4709 | margin_loss=2.1977
Epoch 6/30 | loss=0.3757 | ce_loss=0.2725 | kd_loss=0.3757 | margin_loss=2.0373
Epoch 7/30 | loss=0.3186 | ce_loss=0.2625 | kd_loss=0.3186 | margin_loss=1.8824
Epoch 8/30 | loss=0.2825 | ce_loss=0.2541 | kd_loss=0.2825 | margin_loss=1.7778
Epoch 9/30 | loss=0.2609 | ce_loss=0.2497 | kd_loss=0.2609 | margin_loss=1.7035
Epoch 10/30 | loss=0.2450 | ce_loss=0.2455 | kd_loss=0.2450 | margin_loss=1.6392
Epoch 11/30 | loss=0.2354 | ce_loss=0.2421 | kd_loss=0.2354 | margin_loss=1.6077
Epoch 12/30 | loss=0.2271 | ce_loss=0.2401 | kd_loss=0.2271 | margin_loss=1.5643
Epoch 13/30 | loss=0.2205 | ce_loss=0.2388 | kd_loss=0.2205 | margin_loss=1.5262
Epoch 14/30 | loss=0.2148 | ce_loss=0.2369 | kd_loss=0.2148 | margin_loss=1.4855
Epoch 15/30 | loss=0.2076 | ce_loss=0.2348 | kd_loss=0.2076 | margin_loss=1.4406
Epoch 16/30 | loss=0.2031 | ce_loss=0.2336 | kd_loss=0.2031 | margin_loss=1.3848
Epoch 17/30 | loss=0.1974 | ce_loss=0.2319 | kd_loss=0.1974 | margin_loss=1.3374
Epoch 18/30 | loss=0.1913 | ce_loss=0.2300 | kd_loss=0.1913 | margin_loss=1.2743
Epoch 19/30 | loss=0.1798 | ce_loss=0.2275 | kd_loss=0.1798 | margin_loss=1.1885
Epoch 20/30 | loss=0.1688 | ce_loss=0.2253 | kd_loss=0.1688 | margin_loss=1.1044
Epoch 21/30 | loss=0.1600 | ce_loss=0.2246 | kd_loss=0.1600 | margin_loss=1.0462
Epoch 22/30 | loss=0.1531 | ce_loss=0.2236 | kd_loss=0.1531 | margin_loss=1.0032
Epoch 23/30 | loss=0.1471 | ce_loss=0.2231 | kd_loss=0.1471 | margin_loss=0.9681
Epoch 24/30 | loss=0.1412 | ce_loss=0.2223 | kd_loss=0.1412 | margin_loss=0.9398
Epoch 25/30 | loss=0.1327 | ce_loss=0.2215 | kd_loss=0.1327 | margin_loss=0.9124
Epoch 26/30 | loss=0.1217 | ce_loss=0.2198 | kd_loss=0.1217 | margin_loss=0.8733
Epoch 27/30 | loss=0.1140 | ce_loss=0.2182 | kd_loss=0.1140 | margin_loss=0.8389
Epoch 28/30 | loss=0.1089 | ce_loss=0.2167 | kd_loss=0.1089 | margin_loss=0.8134
Epoch 29/30 | loss=0.1049 | ce_loss=0.2160 | kd_loss=0.1049 | margin_loss=0.7926
Epoch 30/30 | loss=0.1011 | ce_loss=0.2156 | kd_loss=0.1011 | margin_loss=0.7799
Student Accuracy: 0.9305
