cuda:0
Epoch 1/30 | loss=7.7320 | ce_loss=2.6439 | kd_loss=13.1016 | margin_loss=5.4307
Epoch 2/30 | loss=4.1867 | ce_loss=1.4925 | kd_loss=8.5562 | margin_loss=2.3141
Epoch 3/30 | loss=2.5670 | ce_loss=0.9091 | kd_loss=4.2829 | margin_loss=1.8316
Epoch 4/30 | loss=2.1187 | ce_loss=0.7597 | kd_loss=3.2629 | margin_loss=1.6284
Epoch 5/30 | loss=1.9006 | ce_loss=0.6648 | kd_loss=2.7925 | margin_loss=1.5184
Epoch 6/30 | loss=1.6370 | ce_loss=0.5543 | kd_loss=2.1753 | margin_loss=1.4064
Epoch 7/30 | loss=1.4018 | ce_loss=0.4733 | kd_loss=1.6591 | margin_loss=1.2916
Epoch 8/30 | loss=1.2807 | ce_loss=0.4307 | kd_loss=1.4193 | margin_loss=1.2213
Epoch 9/30 | loss=1.2054 | ce_loss=0.4044 | kd_loss=1.2819 | margin_loss=1.1727
Epoch 10/30 | loss=1.1499 | ce_loss=0.3868 | kd_loss=1.1878 | margin_loss=1.1337
Epoch 11/30 | loss=1.1103 | ce_loss=0.3740 | kd_loss=1.1161 | margin_loss=1.1078
Epoch 12/30 | loss=1.0757 | ce_loss=0.3663 | kd_loss=1.0605 | margin_loss=1.0822
Epoch 13/30 | loss=1.0423 | ce_loss=0.3574 | kd_loss=1.0100 | margin_loss=1.0561
Epoch 14/30 | loss=1.0084 | ce_loss=0.3493 | kd_loss=0.9577 | margin_loss=1.0301
Epoch 15/30 | loss=0.9736 | ce_loss=0.3428 | kd_loss=0.8977 | margin_loss=1.0062
Epoch 16/30 | loss=0.9411 | ce_loss=0.3344 | kd_loss=0.8337 | margin_loss=0.9872
Epoch 17/30 | loss=0.9104 | ce_loss=0.3286 | kd_loss=0.7757 | margin_loss=0.9682
Epoch 18/30 | loss=0.8780 | ce_loss=0.3214 | kd_loss=0.7261 | margin_loss=0.9431
Epoch 19/30 | loss=0.8544 | ce_loss=0.3166 | kd_loss=0.6850 | margin_loss=0.9270
Epoch 20/30 | loss=0.8302 | ce_loss=0.3122 | kd_loss=0.6594 | margin_loss=0.9034
Epoch 21/30 | loss=0.8095 | ce_loss=0.3092 | kd_loss=0.6332 | margin_loss=0.8850
Epoch 22/30 | loss=0.7923 | ce_loss=0.3060 | kd_loss=0.6125 | margin_loss=0.8694
Epoch 23/30 | loss=0.7773 | ce_loss=0.3032 | kd_loss=0.5956 | margin_loss=0.8552
Epoch 24/30 | loss=0.7630 | ce_loss=0.3006 | kd_loss=0.5782 | margin_loss=0.8421
Epoch 25/30 | loss=0.7567 | ce_loss=0.2992 | kd_loss=0.5651 | margin_loss=0.8388
Epoch 26/30 | loss=0.7433 | ce_loss=0.2967 | kd_loss=0.5517 | margin_loss=0.8255
Epoch 27/30 | loss=0.7292 | ce_loss=0.2961 | kd_loss=0.5406 | margin_loss=0.8101
Epoch 28/30 | loss=0.7213 | ce_loss=0.2937 | kd_loss=0.5287 | margin_loss=0.8039
Epoch 29/30 | loss=0.7089 | ce_loss=0.2935 | kd_loss=0.5208 | margin_loss=0.7895
Epoch 30/30 | loss=0.7013 | ce_loss=0.2911 | kd_loss=0.5103 | margin_loss=0.7831
Student Accuracy: 0.9091
