cuda:0
Epoch 1/30 | loss=2.8612 | ce_loss=1.7017 | kd_loss=10.9680 | margin_loss=5.5667
Epoch 2/30 | loss=1.1159 | ce_loss=0.7512 | kd_loss=5.5399 | margin_loss=1.9668
Epoch 3/30 | loss=0.9123 | ce_loss=0.5780 | kd_loss=3.8448 | margin_loss=1.6923
Epoch 4/30 | loss=0.8069 | ce_loss=0.4923 | kd_loss=2.9455 | margin_loss=1.5410
Epoch 5/30 | loss=0.7521 | ce_loss=0.4532 | kd_loss=2.5174 | margin_loss=1.4495
Epoch 6/30 | loss=0.7166 | ce_loss=0.4293 | kd_loss=2.2972 | margin_loss=1.3869
Epoch 7/30 | loss=0.6908 | ce_loss=0.4124 | kd_loss=2.1804 | margin_loss=1.3404
Epoch 8/30 | loss=0.6648 | ce_loss=0.3961 | kd_loss=2.0834 | margin_loss=1.2918
Epoch 9/30 | loss=0.6336 | ce_loss=0.3762 | kd_loss=1.9837 | margin_loss=1.2342
Epoch 10/30 | loss=0.6071 | ce_loss=0.3574 | kd_loss=1.8981 | margin_loss=1.1899
Epoch 11/30 | loss=0.5852 | ce_loss=0.3431 | kd_loss=1.8232 | margin_loss=1.1499
Epoch 12/30 | loss=0.5665 | ce_loss=0.3329 | kd_loss=1.7420 | margin_loss=1.1115
Epoch 13/30 | loss=0.5491 | ce_loss=0.3218 | kd_loss=1.6544 | margin_loss=1.0794
Epoch 14/30 | loss=0.5337 | ce_loss=0.3131 | kd_loss=1.5736 | margin_loss=1.0483
Epoch 15/30 | loss=0.5144 | ce_loss=0.3038 | kd_loss=1.4885 | margin_loss=1.0057
Epoch 16/30 | loss=0.4977 | ce_loss=0.2941 | kd_loss=1.4072 | margin_loss=0.9726
Epoch 17/30 | loss=0.4841 | ce_loss=0.2884 | kd_loss=1.3426 | margin_loss=0.9408
Epoch 18/30 | loss=0.4714 | ce_loss=0.2830 | kd_loss=1.2872 | margin_loss=0.9109
Epoch 19/30 | loss=0.4615 | ce_loss=0.2796 | kd_loss=1.2450 | margin_loss=0.8861
Epoch 20/30 | loss=0.4525 | ce_loss=0.2762 | kd_loss=1.2094 | margin_loss=0.8639
Epoch 21/30 | loss=0.4467 | ce_loss=0.2741 | kd_loss=1.1786 | margin_loss=0.8495
Epoch 22/30 | loss=0.4399 | ce_loss=0.2723 | kd_loss=1.1518 | margin_loss=0.8310
Epoch 23/30 | loss=0.4360 | ce_loss=0.2697 | kd_loss=1.1192 | margin_loss=0.8241
Epoch 24/30 | loss=0.4311 | ce_loss=0.2685 | kd_loss=1.0978 | margin_loss=0.8104
Epoch 25/30 | loss=0.4268 | ce_loss=0.2672 | kd_loss=1.0723 | margin_loss=0.7992
Epoch 26/30 | loss=0.4224 | ce_loss=0.2653 | kd_loss=1.0522 | margin_loss=0.7892
Epoch 27/30 | loss=0.4200 | ce_loss=0.2648 | kd_loss=1.0398 | margin_loss=0.7820
Epoch 28/30 | loss=0.4177 | ce_loss=0.2635 | kd_loss=1.0197 | margin_loss=0.7775
Epoch 29/30 | loss=0.4139 | ce_loss=0.2622 | kd_loss=1.0099 | margin_loss=0.7679
Epoch 30/30 | loss=0.4123 | ce_loss=0.2608 | kd_loss=0.9906 | margin_loss=0.7660
Student Accuracy: 0.9169
