arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,no_n1_bin_relax_on_n2,no_n1_encoding,how_much_faster,gap_standard,gap_transfer,solve_status_standard,solve_status_transfer
cnn1,patch,"1,14,14,3",0,4,715.75,1811.43,12.531821,12.634458,0.000000,15.882367,48,1.2,738,no,no,no,2.53x,0.102637,15.882367,,
cnn1,patch,"1,14,14,3",0,4,715.75,1812.05,12.531821,12.634458,0.955099,1.088566,32,3.0,747,no,no,no,2.53x,0.102637,0.133468,,
cnn1,patch,"1,14,14,3",0,4,715.75,1817.81,12.531821,12.634458,3.752768,23.289219,32,inf,776,no,no,no,2.54x,0.102637,19.536451,,
,,,,,,,,,,,,,,,,,,,,,
cnn1,translation,"1,1",1,3,130.40,1812.13,74.447826,75.134869,0.000000,4.534546,32,rga0.05,334,no,no,no,13.90x,0.687043,4.534546,,
,,,,,,,,,,,,,,,,,,,,,
cnn1,translation,"3,1",1,3,172.63,1812.32,74.434969,75.079767,0.000000,0.006013,32,rga0.025,325,no,no,no,10.50x,0.644798,0.006013,,
cnn1,translation,"3,1",1,3,172.63,1812.01,74.434969,75.079767,0.000000,0.880701,32,0.5,379,no,no,no,10.50x,0.644798,0.880701,,
,,,,,,,,,,,,,,,,,,,,,
cnn1,translation,"3,1",1,4,129.57,1812.48,74.743632,75.444856,0.000000,3.188329,32,0.5,379,no,no,no,13.99x,0.701224,3.188329,,
