arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,encoding_skip,bound_n2_relu_using_zonotope,bound_n2_non_relu_using_zonotope,how_much_faster,solve_status_standard,solve_status_transfer
,,,,,,,,,,,,,,,,,,,,
3x10,translation,"3,3",0,5,14.10,0.53,32.814153,32.847667,0.026419,0.026419,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,26.80x,OPTIMAL,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",0,3,74.46,56.17,11.551457,11.551457,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,yes,1.33x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,42.62,11.551457,11.551457,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.75x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,39.94,11.551457,11.551457,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,yes,no,1.86x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,36.75,11.551457,11.551457,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,no,2.03x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,35.68,11.551457,11.551457,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer_no_bin+zono,yes,yes,2.09x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,35.50,11.551457,11.551457,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,2.10x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,29.07,11.551457,11.551457,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+linkN2xpN2x,yes,no,2.56x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",0,3,74.46,27.89,11.551457,11.551457,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp,yes,no,2.67x,,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"1,1,5",1,3,87.73,44.58,5.399273,5.451446,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.97x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,3,87.73,40.41,5.399273,5.451446,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp,yes,no,2.17x,,OBJECTIVE_LIMIT
cnn1,occ,"1,1,5",1,3,87.73,39.37,5.399273,5.451446,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,no,2.23x,,OBJECTIVE_LIMIT
