arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,no_n1_bin_relax_on_n2,no_n1_encoding,how_much_faster,solve_status_standard,solve_status_transfer
cnn1,occ,"1,1,5",1,5,101.80,393.93,7.196610,7.197024,-0.020097,-0.020097,32,rga0.01,633,no,no,no,3.87x,,
cnn1,occ,"1,1,5",1,5,101.80,451.87,7.196610,7.197024,-0.020212,-0.020081,32,rga0.05,651,no,no,no,4.44x,,
cnn1,occ,"1,1,5",1,5,101.80,454.16,7.196610,7.197024,0.000593,0.000593,32,rga0.1,719,no,no,no,4.46x,,
cnn1,occ,"1,1,5",1,5,101.80,587.93,7.196610,7.197024,0.006577,0.006597,32,0.5,736,no,no,no,5.78x,,
cnn1,occ,"1,1,5",1,5,101.80,589.52,7.196610,7.197024,0.006577,0.006597,32,rga0.15,736,no,no,no,5.79x,,
cnn1,occ,"1,1,5",1,5,101.80,1810.68,7.196610,7.197024,4.101034,42.112777,32,inf,770,no,no,no,17.79x,,
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",0,3,96.17,126.22,16.516486,16.644788,-0.150143,-0.150143,32,rga0.0,0,no,no,last_layer+n1xp,1.31x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,222.88,16.516486,16.644788,-0.150143,-0.150143,32,rga0.0,0,yes,no,last_layer+n1xp,2.32x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,406.02,16.516486,16.644788,-0.187619,-0.187619,32,rga0.05,356,no,yes,no,4.22x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,432.50,16.516486,16.644788,-0.187619,-0.187619,32,rga0.025,356,no,yes,no,4.50x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,437.31,16.516486,16.644788,-0.187619,-0.187619,32,rga0.025,356,yes,yes,no,4.55x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,450.36,16.516486,16.644788,-0.187619,-0.187619,32,rga0.05,356,yes,yes,no,4.68x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,515.36,16.516486,16.644788,-0.187619,-0.187619,32,rgainf,388,yes,yes,no,5.36x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,516.66,16.516486,16.644788,-0.187619,-0.187619,32,rgainf,388,no,yes,no,5.37x,,OPTIMAL
cnn1,patch,"1,14,14,3",0,3,96.17,628.31,16.516486,16.644788,-0.108661,-0.108653,32,0.5,736,no,no,no,6.53x,,
cnn1,patch,"1,14,14,3",0,3,96.17,630.58,16.516486,16.644788,-0.108661,-0.108653,48,0.5,736,no,no,no,6.56x,,
cnn1,patch,"1,14,14,3",0,3,96.17,670.46,16.516486,16.644788,-0.108661,-0.108653,32,rga0.15,736,no,no,no,6.97x,,
cnn1,patch,"1,14,14,3",0,3,96.17,971.32,16.516486,16.644788,-0.149765,-0.148838,32,rga0.01,633,no,no,no,10.10x,,
cnn1,patch,"1,14,14,3",0,3,96.17,1552.92,16.516486,16.644788,-0.106672,-0.105935,48,1.2,738,no,no,no,16.15x,,
cnn1,patch,"1,14,14,3",0,3,96.17,1576.38,16.516486,16.644788,-0.106672,-0.105935,32,1.2,738,no,no,no,16.39x,,
cnn1,patch,"1,14,14,3",0,3,96.17,1812.10,16.516486,16.644788,0.000000,6.183440,32,rga0.025,633,no,no,no,18.84x,,
cnn1,patch,"1,14,14,3",0,3,96.17,1811.94,16.516486,16.644788,0.000000,14.872251,32,rga0.1,718,no,no,no,18.84x,,
cnn1,patch,"1,14,14,3",0,3,96.17,1812.97,16.516486,16.644788,0.000000,11.191920,32,rga0.05,650,no,no,no,18.85x,,
cnn1,patch,"1,14,14,3",0,3,96.17,1813.26,16.516486,16.644788,0.000000,15.087024,32,3.0,747,no,no,no,18.85x,,
cnn1,patch,"1,14,14,3",0,3,96.17,1813.47,16.516486,16.644788,1.131433,5.794074,32,rga0.75,748,no,no,no,18.86x,,
cnn1,patch,"1,14,14,3",0,3,96.17,1814.08,16.516486,16.644788,3.785654,33.553056,32,inf,776,no,no,no,18.86x,,
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",0,4,328.21,953.51,12.531821,12.588245,-0.024203,-0.024041,32,rga0.01,633,no,no,no,2.91x,,
cnn1,patch,"1,14,14,3",0,4,328.21,986.57,12.531821,12.588245,-0.024203,-0.024203,32,rga0.025,633,no,no,no,3.01x,,
cnn1,patch,"1,14,14,3",0,4,328.21,1813.34,12.531821,12.588245,-0.561726,2.962351,32,rga0.025,356,yes,yes,no,5.52x,,TIME_LIMIT
cnn1,patch,"1,14,14,3",0,4,328.21,1812.67,12.531821,12.588245,-0.561726,2.869075,32,rga0.025,356,no,yes,no,5.52x,,TIME_LIMIT
cnn1,patch,"1,14,14,3",0,4,328.21,1813.23,12.531821,12.588245,0.000000,1.454775,32,rga0.05,650,no,no,no,5.52x,,
cnn1,patch,"1,14,14,3",0,4,328.21,1813.23,12.531821,12.588245,-0.561726,2.966730,32,rga0.05,356,yes,yes,no,5.52x,,TIME_LIMIT
cnn1,patch,"1,14,14,3",0,4,328.21,1812.20,12.531821,12.588245,-0.535072,9.868609,32,rga0.15,736,no,no,no,5.52x,,
cnn1,patch,"1,14,14,3",0,4,328.21,1810.78,12.531821,12.588245,-0.208706,6.425692,32,rga0.1,718,no,no,no,5.52x,,
cnn1,patch,"1,14,14,3",0,4,328.21,1810.84,12.531821,12.588245,-0.535072,9.868609,32,0.5,736,no,no,no,5.52x,,
cnn1,patch,"1,14,14,3",0,4,328.21,1811.04,12.531821,12.588245,-0.535072,9.868609,48,0.5,736,no,no,no,5.52x,,
cnn1,patch,"1,14,14,3",0,4,328.21,1812.97,12.531821,12.588245,0.570366,9.236068,32,rga0.75,748,no,no,no,5.52x,,
cnn1,patch,"1,14,14,3",0,4,328.21,1812.49,12.531821,12.588245,0.000000,15.882367,32,1.2,738,no,no,no,5.52x,,
cnn1,patch,"1,14,14,3",0,4,328.21,1811.43,12.531821,12.588245,0.000000,15.882367,48,1.2,738,no,no,no,5.52x,,
cnn1,patch,"1,14,14,3",0,4,328.21,1812.05,12.531821,12.588245,0.955099,1.088566,32,3.0,747,no,no,no,5.52x,,
cnn1,patch,"1,14,14,3",0,4,328.21,1814.01,12.531821,12.588245,-0.561726,2.724007,32,rga0.05,356,no,yes,no,5.53x,,TIME_LIMIT
cnn1,patch,"1,14,14,3",0,4,328.21,1817.81,12.531821,12.588245,3.752768,23.289219,32,inf,776,no,no,no,5.54x,,
,,,,,,,,,,,,,,,,,,,
cnn1,patch,"1,14,14,3",0,5,62.33,501.28,13.796666,13.907650,0.027566,0.027566,48,0.5,736,no,no,no,8.04x,,
cnn1,patch,"1,14,14,3",0,5,62.33,512.07,13.796666,13.907650,0.027566,0.027566,32,0.5,736,no,no,no,8.22x,,
cnn1,patch,"1,14,14,3",0,5,62.33,540.08,13.796666,13.907650,0.003455,0.003455,32,rga0.05,650,no,no,no,8.67x,,
